ticker,price,price_change_20d_pct,vol_ratio,flow_score
LQD,111.68,1.38,1.08,65
USO,81.95,3.06,1.14,65
IEF,97.99,2.47,1.02,65
SPY,685.99,-0.86,0.87,50
XLK,138.76,-3.56,0.71,50
QQQ,607.29,-2.34,0.99,50
DIA,489.66,0.25,0.9,50
IWM,261.41,0.68,0.91,50
GLD,483.75,8.72,0.75,50
XLE,55.92,9.54,0.84,50
XLV,160.2,3.53,0.96,50
XLY,116.86,-3.56,0.9,50
XLU,47.73,10.36,0.99,50
XLP,90.01,7.78,0.75,50
XLI,177.14,7.07,0.85,50
XLB,53.41,8.4,0.7,50
TLT,90.82,4.63,0.87,50
XLC,118.05,-1.69,0.86,50
XLRE,43.84,5.82,0.96,50
SLV,84.99,12.66,0.58,50
VNQ,95.69,5.39,0.94,50
UNG,11.52,-31.83,0.63,50
XLF,51.43,-3.76,1.18,35
HYG,80.72,-0.0,1.08,35
